1	1	An older gentleman stands along the shore of an immense lake with a cityscape across the water.	The man is gazing over the water thinking about his life.
1	1	A portly man in an orange jumpsuit standing next to a woman in gray on the highway with a motorcycle laying on its side in the middle of the highway.	A man and a woman were in a motorcycle wreck.
1	1	A toddler in a dress walking away.	The kid is going to a dance
3	3	A dirt bike rider wearing a helmet and a pink t-shirt leans into a tight turn on a forest trail.	A person is riding a dirt bike outside.
3	3	An elderly man is drinking orange juice at a cafe.	An old man is enjoying a beverage at a cafe.
3	3	A girl in water, with goggles and swimming cap.	A girl in water with protective head and eyewear.
2	2	A man in a black shirt and green plaid kilt throws a long wooden spear, as several men spectate from the sidelines.	a man is standing near the men chatting
2	2	Two girls sitting in a bar.	Two girls are in a race.
1	1	There is a restaurant and all the tables are empty.	The restaurant is closed.
3	3	A young girl looking at something in her hands while sitting in a grass field.	A girl sitting outside.
3	3	A woman with a black shirt on with stars on it, talking.	A woman talking.
1	1	The boy in the gray t-shirt is standing next to the girl in the green dress and cowboy hat on the beach.	The kids are having fun
2	2	a mature couple dancing in the middle of a stage.	don't do that!
2	2	Two wrestlers grab each other by the arms; a referee is standing by in the background.	The wrestlers are attacking the referee.
1	1	A guy is grinding a rail over a tree on his snowboard.	There is snow on the ground.
1	1	A woman in a purple sweatshirt with a large ivory hat is painting a scene of a boat launch on her canvas, affixed to an easel.	The hat has a wide brim.
3	3	A woman in a purple dress is inspecting a large piece of fabric.	A woman is looking at a piece of material.
3	3	two old guys are sitting on a park bench	Two old guys sitting.
2	2	A man with a dropped alcoholic beverage has fallen on the sidewalk while his female companion is attempting to help him up with a smile on her face.	The man is riding a skateboard.
3	3	A black bird with a yellow beak standing in green grass.	There is a bird in the grass.
3	3	Woman tennis player strains to return ball.	A tennis player returning a ball.
3	3	A little girl with blond-hair is outside playing with a small doll.	A little girl is playing with a doll.
1	1	girl in red and black raising her leg	A girl stretches her leg
3	3	A group of people in hard hats building a house.	Some people are building a house.
3	3	A boy with a yellow shirt and black pants welding something.	Boy wearing yellow and black, holding something.
1	1	A man is snowboarding over a snow-covered table.	A man is in the snow
1	1	A large yellow machine is putting things in large metal containers.	The machine is putting sand in containers.
1	1	A snowboarder slides along a ramp over a snowy gap.	A snowboarder his the ramp over a snowy gap.
2	2	Four teenagers in dark clothes looking in various directions.	A teen in white is reading a book.
1	1	A man and a woman are in the city smiling.	The couple are riding their bikes through a city.
1	1	A young boy is at a pumpkin patch holding up a large pumpkin.	A boy is found the perfect pumpkin to carve for Halloween.
1	1	A young boy with a visor on plays ball with his bat in the street.	A boy is practicing his batting skills.
2	2	A person jumping off a rock formation in the desert.	A person is swimming.
3	3	A bunch of people mainly men watching something.	People watching something.
3	3	This train is nearly empty.	A train that is almost empty.
1	1	The white dog ran across the tile floor.	A chihuahua runs to greet her owner.
3	3	a young children hanging upside at the playground	The children are outside.
3	3	Two women are standing in front of a class of children talking about a book.	Two women are in the class.
3	3	Two children eat ice cream cones with a chaperone, while the boy eating chocolate ice cream has gotten it all over his face.	A chaperone watches the two kids eat their treat.
2	2	Oriental festival or parade with beautiful display of blue, red and orange colors.	Parade with ugly display of red, grey and green colors.
3	3	Several African women sit in front of a hut.	Women are near a hut.
3	3	A front view of a swimmer with his or her face in the water with people in the background standing out of the water.	A swimmer getting wet in the pool.
1	1	A young girl in a beige dress running near a wooded area.	A girl is running with friends.
3	3	Young girl in blue dress stepping over a soccer ball.	A girl is playing with a ball.
3	3	Two dogs are running through a wet, grassy area and one is carrying a long stick.	Dogs are playing with sticks.
3	3	Viewed as a mirror reflection, a woman applies a mascara pencil to her left eye.	A woman doing makeup in the mirror.
1	1	A lady in jeans and high heels.	A woman dressed up.
1	1	group of young people standing in the middle of a street	A mob prepares to start a protest march.
1	1	Older asian man looking out of a building with sunlight coming in.	An Asian man is sitting in a library.
3	3	Four people are standing behind a balcony in front of a brick building.	The group is outside the building
1	1	A man wearing a T-shirt and cap squats near a wooden object.	A man is near an object
3	3	A man is standing, looking at a lake.	A man is outdoors.
2	2	A runner running down the road.	a person taking a nap under a tree
1	1	A woman buys food from a street vendor in a city while others continue on their way.	An elderly woman buying groceries.
1	1	A man is standing against a light pole next to a trashcan with a bus in the background.	Some person is standing alone waiting for the bus.
2	2	Two men in bowler hats and a woman are performing on a street.	They are all women.
2	2	Construction worker in rain gear pausing.	A worker directing traffic.
